name,definition,short_definition,source,equation
OCOn%,"On-Ice Corsi On-Goal Percentage; The percentage of on-ice shot attempts (on goal, missed, or blocked) that are shots on goal.",On-Ice Corsi On-Goal Percentage,,{ SF } / { CF } * 100
SCA,"Scoring Chances Against; The number of scoring chances for the opposing team. For players, calculated using on-ice events.",SCA,Calculated,
OCAOn%,"On-Ice Corsi Against On-Goal Percentage; The percentage of on-ice shot attempts (on goal, missed, or blocked) by the opposing team that are shots on goal.",On-Ice Corsi Against On-Goal Percentage,,{ SA } / { CA } * 100
SCF%Rel,Relative Scoring Chance percentage; The player's on-ice SCF% minus the player's off-ice SCF%.,,,
FF%,"Fenwick percentage; The percentage of total unblocked shot attempts (on goal or missed) taken by the team. For players, calculated using on-ice events.",Fenwick Percentage,,{ FF } / ({ FF } + { FA }) * 100
SF%,"Shot Percentage; The percentage of total shots on goal taken by the team. For players, calculated using on-ice events.",Shot Percentage,,{ SF } / ({ SF } + { SA }) * 100
CorT%,Corsi Quality of Teammates; The TOI-weighted CF% for a player's teammates.,,,
C+/-,"Corsi plus-minus; plus-minus for shot attempts (on goal, missed, or blocked). For players, calculated using on-ice events.",Corsi Plus/Minus,,{ CF } - { CA }
iFF,Individual Fenwick For; The number of unblocked shot attempts (on goal or missed) taken by an individual player.,Individual Fenwick For,Calculated,
GF,"Goals For; The number of goals scored by the team. For players, calculated using on-ice events.",Goals For,The League,
GA,"Goals Against; The number of goals scored by the opposing team. For players, calculated using on-ice events.",Goals Against,The League,
GF60,"Goals For per 60; The rate of goals scored by the team per 60 minutes of play. For players, calculated using on-ice events.",Goals For per 60,,{ GF } / { TOI } * 60 * 60
GA60,"Goals Against per 60; The rate of goals scored by the opposing team per 60 minutes of play. For players, calculated using on-ice events.",Goals Against per 60,,{ GA } / { TOI } * 60 * 60
Sh%,Shooting percentage; The percentage of shots on goal that are goals.,Shooting Percentage,,{ GF } / { SF } * 100
CP60,"Corsi Pace per 60; The sum of CF60 and CA60. For players, calculated using on-ice events.",Corsi Pace per 60,,{ CF60 } + { CA60 }
SCA60,"Scoring Chances Against per 60; The rate of scoring chances for the opposing team per 60 minutes of play. For players, calculated using on-ice events.",Scoring Chances Against per 60,,{ SCA } / { TOI } * 60 * 60
CF%Rel,Relative Corsi percentage; The player's on-ice CF% minus the player's off-ice CF%.,,,
HSCA,"High-Danger Scoring Chances Against; The number of High-danger Scoring Chances for the opposing team. For players, calculated using on-ice events.",High-Danger Scoring Chances Against,Calculated,
HSCF,"High-Danger Scoring Chances For; The number of High-danger Scoring Chances for the team. For players, calculated using on-ice events.",High-Danger Scoring Chances For,Calculated,
F+/-,"Fenwick plus-minus; plus-minus for unblocked shot attempts (on goal or missed). For players, calculated using on-ice events.",Fenwick Plus/Minus,,{ FF } + { FA }
